date,career_amount,survey_type,involved,work_hard,knowledge,courses,career_one,career_two,career_three,career_four,career_five,career_six,career_seven,career_eight,career_nine,career_ten,succesful,important,member,career,identity,meaningful,everyday
Sep 29th,4,Pre,1-2 years,Agree,Agree,Agree,Environmental Scientist,Mechanical Engineer,Computer Scientist,Biomedical Engineer,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Sep 29th,3,Pre,0-1 years,Neutral,Neutral,Neutral,Chemist,Physicist,Engineer,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree
Sep 29th,5,Pre,0-1 years,Agree,Strongly agree,Agree,Chemist,Forensic Scientist,Biologist,Doctor,Psychologist,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree
Sep 29th,5,Pre,2-3 years,Agree,Agree,Agree,Industrial Engineer,Biochemist,Math Teacher,Biomedical Engineer,Technician,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral
Sep 29th,5,Pre,2-3 years,Agree,Agree,Agree,Biomedical Engineer,Orthopedic Surgeon,Public Health Worker,Neuroscientist,Anesthesiologist,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Sep 29th,3,Pre,1-2 years,Agree,Neutral,Agree,Environmental Engineer,Environmental Scientist,Public Health Worker,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
Sep 29th,5,Pre,1-2 years,Agree,Agree,Neutral,Engineer,IT,App Programmer,Electrician,Scientist,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Sep 29th,7,Pre,0-1 years,Agree,Agree,Agree,Engineer,Astronaut,Pediatrician,Marine Biologist,Physical Therapist,Surgeon,Biologist,NA,NA,NA,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Disagree
Sep 29th,6,Pre,0-1 years,Agree,Agree,Agree,Marine Biologist,Engineer,Microbiologist,Physicist,Astronomer,Doctor,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree
Sep 29th,4,Pre,0-1 years,Agree,Neutral,Strongly agree,Engineer,Scientist,Mathematician,Chemist,NA,NA,NA,NA,NA,NA,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral
Sep 29th,5,Pre,0-1 years,Agree,Agree,Agree,Industrial Engineer,Civil Engineer,Architect,Chemist,Astrophysicist,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree
Sep 29th,8,Pre,0-1 years,Agree,Agree,Agree,Doctor,Engineer,Accountant,Chemist,Astronomer,Architect,Mathematician,Computer Scientist,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Sep 29th,10,Pre,1-2 years,Agree,Agree,Agree,Environmental Engineer,Psychologist,Nurse,Technician,OB-GYN,Cardiac Surgeon,Chemist,Physicist,Mathematician,Astronaut,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Sep 29th,4,Pre,0-1 years,Agree,Agree,Agree,Doctor,Teacher,Scientist,Artist,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Disagree
Sep 29th,7,Pre,1-2 years,Agree,Agree,Agree,Mathematician,Engineer,Programmer,Researcher,Surgeon,Dentist,Biomedical Engineer,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Sep 29th,9,Pre,1-2 years,Agree,Agree,Agree,Cardiologist,Bioengineer,Pediatrician,Surgeon,Engineer,Biotechnician,Astronomer,Architect,Neurologist,NA,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Sep 29th,0,Pre,0-1 years,Strongly agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral
Sep 29th,7,Pre,1-2 years,Agree,Agree,Agree,Doctor,Engineer,Chemist,Physicist,Biochemist,Mathematician,Teacher,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Sep 29th,7,Pre,0-1 years,Agree,Agree,Agree,IT,Computer Scientist,Chemist,Biologist,Engineer,Marine Biologist,Teacher,NA,NA,NA,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
Sep 29th,5,Pre,0-1 years,Agree,Agree,Agree,Chemist,Physicist,Computer Scientist,Doctor,Physiologist,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Sep 29th,10,Pre,2-3 years,Agree,Strongly agree,Strongly agree,Doctor,Engineer,IT,Mathematician,Architecture,Biologist,Chemist,Astronomer,Physicist,Astronaut,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
