date,topic,question,response
Sep 29th,Activity,interesting,Not at all
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Somewhat
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Neutral
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Neutral
Sep 29th,Activity,belong,Neutral
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Fairly
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Agree
Sep 29th,Activity,belong,Agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Sep 29th,Activity,interesting,Very
Sep 29th,Activity,included,Strongly agree
Sep 29th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Fairly
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
