date,career_amount,survey_type,involved,work_hard,knowledge,courses,career_one,career_two,career_three,career_four,career_five,career_six,career_seven,career_eight,career_nine,career_ten,succesful,important,member,career,identity,meaningful,everyday
May 3rd,3,Post,0-1 years,Agree,Agree,Strongly agree,Engineer,Doctor,Programmer,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
May 3rd,0,Post,1-2 years,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
May 3rd,2,Post,1-2 years,Agree,Agree,Agree,Doctor,Researcher,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral
May 3rd,2,Post,0-1 years,Agree,Agree,Agree,Mechanical Engineer,Robotics Engineer,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral
May 3rd,5,Post,0-1 years,Agree,Strongly agree,Agree,Data Scientist,Software Developer,Engineer,IT,Biomedical Engineer,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree
May 3rd,8,Post,1-2 years,Strongly agree,Strongly agree,Strongly agree,Astronaut,Scientist,Architect,Neuroscientist,Biomedical Engineer,Chemical Engineer,Material Engineer,Industrial Engineer,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
May 3rd,3,Post,0-1 years,Strongly agree,Agree,Agree,Chemical Engineer,Sustainability Coordinator,Researcher,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
May 3rd,4,Post,3-4 years,Strongly agree,Strongly agree,Strongly agree,Neuroscientist,Psychologist,Mathematician,Electrical Engineer,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
May 3rd,7,Post,0-1 years,Strongly agree,Strongly agree,Strongly agree,Dentist,Physical Therapist,X-ray Technician,Dermatologist,Professor,Nurse,OB-GYN,NA,NA,NA,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral
May 3rd,5,Post,0-1 years,Strongly agree,Strongly agree,Strongly agree,Doctor,X-ray Technician,Engineer,Dentist,Professor,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
May 3rd,6,Post,1-2 years,Neutral,Agree,Agree,Nurse,Doctor,Researcher,Scientist,Biologist,Science Teacher,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
May 3rd,10,Post,1-2 years,Strongly agree,Strongly agree,Strongly agree,Biochemist,Biophysicist,Astrophysicist,Aerospace Engineer,Mathematician,Geneticist,Software Engineer,OB-GYN,Chemist,Biologist,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
May 3rd,5,Post,0-1 years,Strongly agree,Strongly agree,Strongly agree,Engineer,Doctor,Chemist,Biologist,Nurse,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
May 3rd,4,Post,0-1 years,Agree,Strongly agree,Agree,Engineer,Doctor,Chemist,Nurse,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
May 3rd,7,Post,0-1 years,Strongly agree,Strongly agree,Strongly agree,Doctor,Engineer,Marine Biologist,Mathematician,Microbiologist,Nurse,Chemist,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
May 3rd,4,Post,0-1 years,Agree,Strongly agree,Agree,Engineer,Professor,Biologist,Chemist,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree
May 3rd,3,Post,0-1 years,Agree,Agree,Agree,Marine Biologist,Engineer,Chemist,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree
May 3rd,9,Post,0-1 years,Strongly agree,Agree,Agree,Engineer,Mathematician,Astronaut,Chemist,Marine Biologist,Software Engineer,Data Scientist,Biomedical Engineer,Technician,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
May 3rd,3,Post,0-1 years,Agree,Agree,Agree,Engineer,Biologist,Chemist,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree
May 3rd,5,Post,1-2 years,Agree,Strongly agree,Strongly agree,Engineer,Computer Scientist,Doctor,Math Teacher,Veterinarian,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
May 3rd,8,Post,1-2 years,Agree,Agree,Agree,Researcher,Doctor,Computer Scientist,Mathematician,Engineer,Physicist,Professor,Bioethicist,NA,NA,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
May 3rd,8,Post,1-2 years,Agree,Strongly agree,Strongly agree,Engineer,Civil Engineer,Aerospace Engineer,Traffic Controller,Software Engineer,Accountant,Mechanical Engineer,Data Scientist,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree
May 3rd,10,Post,0-1 years,Agree,Agree,Neutral,Bioengineer,Architect,Chemist,Biologist,Mathematician,Doctor,Electrician,Surgeon,Radiologist,Orthopedic Technician,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral
May 3rd,10,Post,0-1 years,Strongly agree,Strongly agree,Strongly agree,Biomedical Engineer,Radiologist,Environmental Engineer,Mathematician,Biologist,Doctor,Surgeon,Architectural Engineer,Mechanical Engineer,Cosmetics Engineer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
May 3rd,10,Post,0-1 years,Agree,Strongly agree,Agree,Bioengineer,Architect,Animator,Forensics Psychologist,Radiologist,Mathematician,Surgeon,Doctor,Mechanical Engineer,Electrician,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
May 3rd,8,Post,0-1 years,Agree,Agree,Agree,Computer Scientist,Engineer,Chemist,Doctor,Chemical Engineer,Professor,Mathematician,Patents Lawyer,NA,NA,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree
May 3rd,1,Post,0-1 years,Agree,Agree,Agree,Biologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
May 3rd,5,Post,1-2 years,Strongly agree,Strongly agree,Agree,Mechanical Engineer,Civil Engineer,Doctor,Chemist,Graphic Designer,NA,NA,NA,NA,NA,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree
May 3rd,6,Post,1-2 years,Strongly agree,Agree,Strongly agree,Science Teacher,Chemist,Biologist,Doctor,Nurse,Researcher,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral
May 3rd,5,Post,0-1 years,Agree,Neutral,Neutral,Engineer,Mathematician,Chemist,Doctor,Computer Scientist,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
May 3rd,3,Post,0-1 years,Neutral,Agree,Neutral,Engineer,Scientist,Doctor,NA,NA,NA,NA,NA,NA,NA,Disagree,Agree,Neutral,Disagree,Strongly disagree,Agree,Agree
May 3rd,2,Post,1-2 years,Agree,Strongly agree,Strongly agree,Engineer,Computer Scientist,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
