Q1,Q7,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
date,career_amount,survey_type,involved,work_hard,knowledge,courses,career_one,career_two,career_three,career_four,career_five,career_six,career_seven,career_eight,career_nine,career_ten,succesful,important,member,career,identity,meaningful,everyday
"{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}"
Sep 29th,4,Pre,1-2 years,Agree,Agree,Agree,Environmental Scientist,Mechanical Engineer,Computer Scientist,Biomedical Engineer,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Sep 29th,3,Pre,0-1 years,Neutral,Neutral,Neutral,Chemist,Physicist,Engineer,,,,,,,,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree
Sep 29th,5,Pre,0-1 years,Agree,Strongly agree,Agree,Chemist,Forensic Scientist,Biologist,Doctor,Psychologist,,,,,,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree
Sep 29th,5,Pre,2-3 years,Agree,Agree,Agree,Industrial Engineer,Biochemist,Math Teacher,Biomedical Engineer,Technician,,,,,,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral
Sep 29th,5,Pre,2-3 years,Agree,Agree,Agree,Biomedical Engineer,Orthopedic Surgeon,Public Health Worker,Neuroscientist,"Anesthesiologist ",,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Sep 29th,3,Pre,1-2 years,Agree,Neutral,Agree,Environmental Engineer,Environmental Scientist,Public Health Worker,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
Sep 29th,5,Pre,1-2 years,Agree,Agree,Neutral,Engineer,IT,App Programmer,Electrician,Scientist,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Sep 29th,7,Pre,0-1 years,Agree,Agree,Agree,Engineer,Astronaut,Pediatrician,Marine Biologist,Physical Therapist,Surgeon,Biologist,,,,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Disagree
